batch_name,query_id,template_id,template_label,fact_table,fact_rows,rows_in,bytes_est,n_joins,has_groupby,selectivity,has_orderby,has_window,limit_rows,reps,median_seconds,min_seconds,max_seconds,calibration_seconds,machine_factor,normalized_seconds,cpu_count,duckdb_threads,measured_at
batch_01,t20_s2,t20,2M rows · 2 joins · no group by · limit 1000,fact_event_s,2000000,2055000,146160000,2,0,0.15,0,0,1000,11,0.053072,0.052331,0.060652,0.260304,1.044479,0.050812,4,4,2026-08-21T19:57:07+00:00
batch_01,t47_s4,t47,8M rows · 1 join · no group by · window · order by · limit 1000,fact_event_x,8000000,8050000,578000000,1,0,0.9,1,1,1000,5,0.763891,0.74067,0.787735,0.260478,1.045177,0.730872,4,4,2026-08-21T19:57:07+00:00
batch_01,t21_s2,t21,2M rows · 3 joins · group by · order by · no limit,fact_event_s,2000000,2055200,146164800,3,1,0.15,1,0,0,5,0.200215,0.196999,0.209257,0.260404,1.044881,0.191615,4,4,2026-08-21T19:57:07+00:00
batch_01,t34_s2,t34,2M rows · 0 joins · no group by · window · limit 100,fact_event_s,2000000,2000000,144000000,0,0,0.15,0,1,100,9,0.068899,0.067932,0.071031,0.26033,1.044585,0.065958,4,4,2026-08-21T19:57:07+00:00
batch_01,t23_s3,t23,5M rows · 1 join · no group by · order by · limit 1000,fact_event_l,5000000,5050000,362000000,1,0,0.45,1,0,1000,5,0.144479,0.143582,0.145262,0.260257,1.044289,0.138352,4,4,2026-08-21T19:57:07+00:00
batch_01,t55_s2,t55,5M rows · 2 joins · group by · window · limit 100,fact_event_l,5000000,5055000,362160000,2,1,0.15,0,1,100,5,0.296554,0.293821,0.302397,0.260183,1.043993,0.284057,4,4,2026-08-21T19:57:07+00:00
batch_01,t14_s2,t14,5M rows · 2 joins · no group by · limit 1000,fact_event_l,5000000,5055000,362160000,2,0,0.15,0,0,1000,5,0.124539,0.123907,0.126838,0.260109,1.043697,0.119325,4,4,2026-08-21T19:57:07+00:00
batch_01,t15_s2,t15,8M rows · 0 joins · group by · no limit,fact_event_x,8000000,8000000,576000000,0,1,0.15,0,0,0,5,0.310943,0.307341,0.313419,0.260035,1.0434,0.298009,4,4,2026-08-21T19:57:07+00:00
batch_01,t36_s3,t36,2M rows · 3 joins · no group by · window · order by · no limit,fact_event_s,2000000,2055200,146164800,3,0,0.45,1,1,0,5,0.125092,0.124555,0.127494,0.259961,1.043104,0.119923,4,4,2026-08-21T19:57:07+00:00
batch_01,t05_s4,t05,3M rows · 3 joins · no group by · order by · limit 1000,fact_event_m,3000000,3055200,218164800,3,0,0.9,1,0,1000,6,0.115452,0.113148,0.116939,0.259888,1.042808,0.110713,4,4,2026-08-21T19:57:07+00:00
batch_01,t56_s4,t56,8M rows · 2 joins · no group by · limit 1000,fact_event_x,8000000,8055000,578160000,2,0,0.9,0,0,1000,5,0.260788,0.259752,0.262503,0.259814,1.042512,0.250153,4,4,2026-08-21T19:57:07+00:00
batch_01,t18_s1,t18,2M rows · 2 joins · group by · no limit,fact_event_s,2000000,2055000,146160000,2,1,0.02,0,0,0,10,0.060649,0.059976,0.063194,0.25974,1.042216,0.058192,4,4,2026-08-21T19:57:07+00:00
batch_01,t55_s4,t55,5M rows · 2 joins · group by · window · limit 100,fact_event_l,5000000,5055000,362160000,2,1,0.9,0,1,100,5,1.120608,1.108178,1.131818,0.259747,1.042245,1.075187,4,4,2026-08-21T19:57:07+00:00
batch_01,t54_s3,t54,8M rows · 0 joins · no group by · no limit,fact_event_x,8000000,8000000,576000000,0,0,0.45,0,0,0,5,0.216782,0.215551,0.223056,0.259755,1.042274,0.207989,4,4,2026-08-21T19:57:07+00:00
batch_01,t06_s4,t06,2M rows · 1 join · no group by · window · order by · no limit,fact_event_s,2000000,2050000,146000000,1,0,0.9,1,1,0,5,0.198207,0.193008,0.203195,0.259762,1.042304,0.190162,4,4,2026-08-21T19:57:07+00:00
batch_01,t59_s3,t59,3M rows · 1 join · group by · window · order by · limit 1000,fact_event_m,3000000,3050000,218000000,1,1,0.45,1,1,1000,5,0.336523,0.336329,0.341019,0.259769,1.042333,0.322856,4,4,2026-08-21T19:57:07+00:00
batch_01,t16_s2,t16,8M rows · 3 joins · group by · order by · limit 100,fact_event_x,8000000,8055200,578164800,3,1,0.15,1,0,100,5,0.470977,0.467246,0.481236,0.259777,1.042362,0.451836,4,4,2026-08-21T19:57:07+00:00
batch_01,t32_s3,t32,8M rows · 0 joins · group by · order by · limit 1000,fact_event_x,8000000,8000000,576000000,0,1,0.45,1,0,1000,5,0.577895,0.568958,0.581057,0.259784,1.042392,0.554393,4,4,2026-08-21T19:57:07+00:00
batch_01,t50_s1,t50,2M rows · 3 joins · no group by · limit 1000,fact_event_s,2000000,2055200,146164800,3,0,0.02,0,0,1000,13,0.04683,0.046441,0.048209,0.259791,1.042421,0.044924,4,4,2026-08-21T19:57:07+00:00
batch_01,t49_s2,t49,3M rows · 0 joins · group by · window · limit 100,fact_event_m,3000000,3000000,216000000,0,1,0.15,0,1,100,5,0.130373,0.129886,0.131882,0.259798,1.04245,0.125064,4,4,2026-08-21T19:57:07+00:00
batch_01,t12_s1,t12,2M rows · 0 joins · no group by · no limit,fact_event_s,2000000,2000000,144000000,0,0,0.02,0,0,0,14,0.044721,0.044059,0.046492,0.259806,1.04248,0.042899,4,4,2026-08-21T19:57:07+00:00
batch_02,t37_s2,t37,5M rows · 0 joins · no group by · limit 100,fact_event_l,5000000,5000000,360000000,0,0,0.15,0,0,100,7,0.09008,0.089091,0.091787,0.239785,0.962146,0.093624,4,4,2026-08-21T20:00:08+00:00
batch_02,t51_s3,t51,2M rows · 0 joins · group by · no limit,fact_event_s,2000000,2000000,144000000,0,1,0.45,0,0,0,6,0.11887,0.116064,0.124548,0.238977,0.958904,0.123964,4,4,2026-08-21T20:00:08+00:00
batch_02,t31_s2,t31,2M rows · 1 join · no group by · window · limit 100,fact_event_s,2000000,2050000,146000000,1,0,0.15,0,1,100,11,0.058803,0.057083,0.060364,0.238169,0.955663,0.061531,4,4,2026-08-21T20:00:08+00:00
batch_02,t52_s1,t52,2M rows · 2 joins · no group by · window · limit 100,fact_event_s,2000000,2055000,146160000,2,0,0.02,0,1,100,16,0.038833,0.036994,0.041419,0.237362,0.952422,0.040773,4,4,2026-08-21T20:00:08+00:00
batch_02,t07_s4,t07,2M rows · 2 joins · group by · window · limit 100,fact_event_s,2000000,2055000,146160000,2,1,0.9,0,1,100,5,0.421293,0.401323,0.429278,0.236554,0.94918,0.443849,4,4,2026-08-21T20:00:08+00:00
batch_02,t59_s4,t59,3M rows · 1 join · group by · window · order by · limit 1000,fact_event_m,3000000,3050000,218000000,1,1,0.9,1,1,1000,5,0.511367,0.505513,0.552696,0.235746,0.945939,0.540592,4,4,2026-08-21T20:00:08+00:00
batch_02,t55_s1,t55,5M rows · 2 joins · group by · window · limit 100,fact_event_l,5000000,5055000,362160000,2,1,0.02,0,1,100,6,0.108146,0.106796,0.109472,0.234938,0.942698,0.11472,4,4,2026-08-21T20:00:08+00:00
batch_02,t53_s3,t53,5M rows · 1 join · group by · limit 1000,fact_event_l,5000000,5050000,362000000,1,1,0.45,0,0,1000,5,0.326984,0.319818,0.338524,0.23413,0.939456,0.348057,4,4,2026-08-21T20:00:08+00:00
batch_02,t35_s2,t35,5M rows · 0 joins · no group by · window · order by · limit 1000,fact_event_l,5000000,5000000,360000000,0,0,0.15,1,1,1000,5,0.134846,0.131655,0.139108,0.233323,0.936215,0.144033,4,4,2026-08-21T20:00:08+00:00
batch_02,t12_s4,t12,2M rows · 0 joins · no group by · no limit,fact_event_s,2000000,2000000,144000000,0,0,0.9,0,0,0,13,0.049343,0.04876,0.052969,0.232515,0.932974,0.052888,4,4,2026-08-21T20:00:08+00:00
batch_02,t35_s3,t35,5M rows · 0 joins · no group by · window · order by · limit 1000,fact_event_l,5000000,5000000,360000000,0,0,0.45,1,1,1000,5,0.253063,0.244504,0.257659,0.231707,0.929732,0.272189,4,4,2026-08-21T20:00:08+00:00
batch_02,t47_s2,t47,8M rows · 1 join · no group by · window · order by · limit 1000,fact_event_x,8000000,8050000,578000000,1,0,0.15,1,1,1000,5,0.227702,0.225627,0.23025,0.231633,0.929438,0.244989,4,4,2026-08-21T20:00:08+00:00
batch_02,t22_s3,t22,5M rows · 2 joins · no group by · order by · limit 100,fact_event_l,5000000,5055000,362160000,2,0,0.45,1,0,100,6,0.113011,0.110266,0.114197,0.23156,0.929143,0.121629,4,4,2026-08-21T20:00:08+00:00
batch_02,t35_s1,t35,5M rows · 0 joins · no group by · window · order by · limit 1000,fact_event_l,5000000,5000000,360000000,0,0,0.02,1,1,1000,7,0.088675,0.085501,0.092641,0.231487,0.928848,0.095468,4,4,2026-08-21T20:00:08+00:00
batch_02,t48_s4,t48,2M rows · 3 joins · group by · window · order by · no limit,fact_event_s,2000000,2055200,146164800,3,1,0.9,1,1,0,5,0.880927,0.871984,0.882577,0.231413,0.928553,0.948709,4,4,2026-08-21T20:00:08+00:00
batch_02,t60_s1,t60,3M rows · 2 joins · group by · window · order by · no limit,fact_event_m,3000000,3055000,218160000,2,1,0.02,1,1,0,8,0.08457,0.08096,0.091824,0.23134,0.928258,0.091106,4,4,2026-08-21T20:00:08+00:00
batch_02,t34_s1,t34,2M rows · 0 joins · no group by · window · limit 100,fact_event_s,2000000,2000000,144000000,0,0,0.02,0,1,100,16,0.037349,0.035852,0.039614,0.231266,0.927963,0.040248,4,4,2026-08-21T20:00:08+00:00
batch_02,t51_s2,t51,2M rows · 0 joins · group by · no limit,fact_event_s,2000000,2000000,144000000,0,1,0.15,0,0,0,10,0.065162,0.061824,0.072641,0.231192,0.927668,0.070243,4,4,2026-08-21T20:00:08+00:00
batch_02,t06_s3,t06,2M rows · 1 join · no group by · window · order by · no limit,fact_event_s,2000000,2050000,146000000,1,0,0.45,1,1,0,7,0.098613,0.096142,0.100295,0.231119,0.927373,0.106336,4,4,2026-08-21T20:00:08+00:00
batch_02,t43_s4,t43,8M rows · 1 join · no group by · order by · limit 100,fact_event_x,8000000,8050000,578000000,1,0,0.9,1,0,100,5,0.187112,0.181856,0.189679,0.231046,0.927078,0.20183,4,4,2026-08-21T20:00:08+00:00
batch_02,t54_s2,t54,8M rows · 0 joins · no group by · no limit,fact_event_x,8000000,8000000,576000000,0,0,0.15,0,0,0,5,0.136651,0.133756,0.139982,0.230972,0.926783,0.147447,4,4,2026-08-21T20:00:08+00:00
batch_02,t42_s2,t42,3M rows · 0 joins · group by · window · order by · no limit,fact_event_m,3000000,3000000,216000000,0,1,0.15,1,1,0,6,0.113399,0.108023,0.116582,0.230723,0.925784,0.12249,4,4,2026-08-21T20:00:08+00:00
batch_02,t44_s2,t44,5M rows · 3 joins · group by · window · limit 1000,fact_event_l,5000000,5055200,362164800,3,1,0.15,0,1,1000,5,0.285567,0.276516,0.292268,0.230474,0.924784,0.308793,4,4,2026-08-21T20:00:08+00:00
batch_02,t53_s4,t53,5M rows · 1 join · group by · limit 1000,fact_event_l,5000000,5050000,362000000,1,1,0.9,0,0,1000,5,0.590977,0.571493,0.608042,0.230225,0.923785,0.639734,4,4,2026-08-21T20:00:08+00:00
batch_02,t37_s1,t37,5M rows · 0 joins · no group by · limit 100,fact_event_l,5000000,5000000,360000000,0,0,0.02,0,0,100,8,0.083846,0.081214,0.087162,0.229976,0.922785,0.090862,4,4,2026-08-21T20:00:08+00:00
batch_02,t40_s4,t40,3M rows · 3 joins · group by · window · limit 100,fact_event_m,3000000,3055200,218164800,3,1,0.9,0,1,100,5,0.760265,0.754774,0.78287,0.229727,0.921786,0.824774,4,4,2026-08-21T20:00:08+00:00
batch_02,t41_s2,t41,3M rows · 1 join · no group by · limit 1000,fact_event_m,3000000,3050000,218000000,1,0,0.15,0,0,1000,10,0.06069,0.056816,0.067932,0.229477,0.920786,0.065911,4,4,2026-08-21T20:00:08+00:00
batch_02,t32_s4,t32,8M rows · 0 joins · group by · order by · limit 1000,fact_event_x,8000000,8000000,576000000,0,1,0.9,1,0,1000,5,0.686445,0.66617,0.720408,0.229228,0.919787,0.746309,4,4,2026-08-21T20:00:08+00:00
batch_02,t14_s3,t14,5M rows · 2 joins · no group by · limit 1000,fact_event_l,5000000,5055000,362160000,2,0,0.45,0,0,1000,6,0.105413,0.104902,0.109629,0.228979,0.918787,0.114731,4,4,2026-08-21T20:00:08+00:00
batch_02,t49_s1,t49,3M rows · 0 joins · group by · window · limit 100,fact_event_m,3000000,3000000,216000000,0,1,0.02,0,1,100,11,0.057433,0.05551,0.063229,0.22873,0.917788,0.062578,4,4,2026-08-21T20:00:08+00:00
batch_02,t42_s4,t42,3M rows · 0 joins · group by · window · order by · no limit,fact_event_m,3000000,3000000,216000000,0,1,0.9,1,1,0,5,0.41635,0.411667,0.424939,0.228481,0.916788,0.45414,4,4,2026-08-21T20:00:08+00:00
batch_02,t18_s3,t18,2M rows · 2 joins · group by · no limit,fact_event_s,2000000,2055000,146160000,2,1,0.45,0,0,0,5,0.27666,0.249406,0.280337,0.229238,0.919824,0.300775,4,4,2026-08-21T20:00:08+00:00
batch_02,t03_s3,t03,8M rows · 2 joins · no group by · window · no limit,fact_event_x,8000000,8055000,578160000,2,0,0.45,0,1,0,5,0.412894,0.407872,0.418191,0.229994,0.92286,0.447407,4,4,2026-08-21T20:00:08+00:00
batch_02,t19_s4,t19,8M rows · 3 joins · group by · window · order by · limit 100,fact_event_x,8000000,8055200,578164800,3,1,0.9,1,1,100,5,2.59579,2.514459,2.615049,0.230751,0.925896,2.803544,4,4,2026-08-21T20:00:08+00:00
batch_02,t30_s3,t30,5M rows · 1 join · group by · window · no limit,fact_event_l,5000000,5050000,362000000,1,1,0.45,0,1,0,5,0.500726,0.487713,0.520438,0.231507,0.928932,0.539034,4,4,2026-08-21T20:00:08+00:00
batch_02,t46_s3,t46,8M rows · 1 join · group by · window · order by · limit 100,fact_event_x,8000000,8050000,578000000,1,1,0.45,1,1,100,5,0.762895,0.7507,0.785819,0.232264,0.931967,0.818586,4,4,2026-08-21T20:00:08+00:00
batch_02,t11_s2,t11,3M rows · 0 joins · group by · limit 1000,fact_event_m,3000000,3000000,216000000,0,1,0.15,0,0,1000,7,0.089413,0.08618,0.091671,0.233021,0.935003,0.095629,4,4,2026-08-21T20:00:08+00:00
batch_02,t25_s4,t25,8M rows · 1 join · no group by · limit 100,fact_event_x,8000000,8050000,578000000,1,0,0.9,0,0,100,5,0.184847,0.181821,0.194117,0.233777,0.938039,0.197057,4,4,2026-08-21T20:00:08+00:00
batch_02,t46_s1,t46,8M rows · 1 join · group by · window · order by · limit 100,fact_event_x,8000000,8050000,578000000,1,1,0.02,1,1,100,5,0.159403,0.157056,0.162966,0.234534,0.941075,0.169384,4,4,2026-08-21T20:00:08+00:00
batch_02,t56_s2,t56,8M rows · 2 joins · no group by · limit 1000,fact_event_x,8000000,8055000,578160000,2,0,0.15,0,0,1000,5,0.147563,0.140368,0.152802,0.23529,0.944111,0.156298,4,4,2026-08-21T20:00:08+00:00
